_type,director,name,rating,star,year
ImdbItem,Herbert Ross,Boys on the Side,6.4,"Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,Matthew McConaughey",1995
ImdbItem,James Melkonian,The Jerky Boys,4.7,"John G. Brennan,Kamal Ahmed,Alan Arkin,William Hickey",1995
ImdbItem,Jeff Bleckner,Serving in Silence: The Margarethe Cammermeyer Story,7.1,"Glenn Close,Judy Davis,Jan Rubes,Wendy Makkena",1995
ImdbItem,Tamra Davis,Billy Madison,6.4,"Adam Sandler,Darren McGavin,Bridgette Wilson-Sampras,Bradley Whitford",1995
ImdbItem,Sam Raimi,The Quick and the Dead,6.4,"Sharon Stone,Gene Hackman,Russell Crowe,Leonardo DiCaprio",1995
ImdbItem,"Wayne Wang,Paul Auster",Smoke,7.4,"Harvey Keitel,William Hurt,Giancarlo Esposito,JosÃ© ZÃºÃ±iga",1995
ImdbItem,"Paul Auster,Wayne Wang,Harvey Wang",Blue in the Face,6.7,"Harvey Keitel,Lou Reed,Michael J. Fox,Roseanne Barr",1995
ImdbItem,Betty Thomas,The Brady Bunch Movie,6,"Shelley Long,Gary Cole,Christine Taylor,Christopher Daniel Barnes",1995
ImdbItem,Steven Brill,Heavy Weights,6.7,"Tom McGowan,Aaron Schwartz,Ben Stiller,David Goldman",1995
ImdbItem,Arne Glimcher,Just Cause,6.4,"Sean Connery,Laurence Fishburne,Kate Capshaw,Blair Underwood",1995
ImdbItem,Susanne Ofteringer,Nico Icon,7.3,"Nico,Tina Aumont,Christian PÃ_ffgen,Edith Boulogne",1995
ImdbItem,J.F. Lawton,The Hunted,6,"Christopher Lambert,John Lone,Joan Chen,Yoshio Harada",1995
ImdbItem,Chris Gerolmo,Citizen X,7.6,"Stephen Rea,Donald Sutherland,Max von Sydow,Jeffrey DeMunn",1995
ImdbItem,Patricia Rozema,When Night Is Falling,6.6,"Pascale BussiÃ¨res,Rachael Crawford,Henry Czerny,David Fox",1995
ImdbItem,Aaron Norris,Top Dog,4.1,"Chuck Norris,Michele Lamar Richards,Erik von Detten,Carmine Caridi",1995
ImdbItem,Pat O'Connor,Circle of Friends - Im Kreis der Freunde,6.6,"Chris O'Donnell,Minnie Driver,Geraldine O'Rawe,Saffron Burrows",1995
ImdbItem,James Orr,Man of the House,5.1,"Chevy Chase,Farrah Fawcett,Jonathan Taylor Thomas,George Wendt",1995
ImdbItem,Tobe Hooper,The Mangler,4.1,"Robert Englund,Ted Levine,Daniel Matmor,Jeremy Crutchley",1995
ImdbItem,Brett Leonard,Hideaway,5.3,"Jeff Goldblum,Christine Lahti,Alicia Silverstone,Jeremy Sisto",1995
ImdbItem,Peter Yates,Roommates,6.4,"Peter Falk,D.B. Sweeney,Julianne Moore,Ellen Burstyn",1995
ImdbItem,Wolfgang Petersen,Outbreak,6.6,"Dustin Hoffman,Rene Russo,Morgan Freeman,Kevin Spacey",1995
ImdbItem,Sang-ok Shin,3 Ninjas Knuckle Up,4.2,"Victor Wong,Charles Napier,Michael Treanor,Max Elliott Slade",1995
ImdbItem,Stephen Gyllenhaal,Losing Isaiah,6.4,"Jessica Lange,Halle Berry,David Strathairn,Cuba Gooding Jr.",1995
ImdbItem,Bill Condon,Candyman: Farewell to the Flesh,5.3,"Tony Todd,Kelly Rowan,William O'Leary,Bill Nunn",1995
ImdbItem,Sam Weisman,Bye Bye Love,6.1,"Matthew Modine,Randy Quaid,Paul Reiser,Janeane Garofalo",1995
ImdbItem,Nick Castle,Major Payne,6.2,"Damon Wayans,Michael Ironside,Bam Bam Bigelow,Joseph Blaire",1995
ImdbItem,Nick Gomez,New Jersey Drive,6.7,"Shar-Ron Corley,Gabriel Casseus,Saul Stein,Gwen McGee",1995
ImdbItem,Jeremiah S. Chechik,Tall Tale,5.9,"Patrick Swayze,Oliver Platt,Roger Aaron Brown,Nick Stahl",1995
ImdbItem,Peter Segal,Tommy Boy,7.1,"Chris Farley,David Spade,Brian Dennehy,Bo Derek",1995
ImdbItem,Rachel Talalay,Tank Girl,5.3,"Lori Petty,Ice-T,Naomi Watts,Don Harvey",1995
ImdbItem,Gregory Widen,The Prophecy,6.5,"Christopher Walken,Elias Koteas,Virginia Madsen,Eric Stoltz",1995
ImdbItem,James Ivory,Jefferson in Paris,5.7,"Nick Nolte,Greta Scacchi,Gwyneth Paltrow,Estelle Eonnet",1995
ImdbItem,Kevin Lima,A Goofy Movie,6.8,"Bill Farmer,Jason Marsden,Jim Cummings,Kellie Martin",1995
ImdbItem,Martin Scorsese,Casino,8.2,"Robert De Niro,Sharon Stone,Joe Pesci,James Woods",1995
ImdbItem,Michael Caton-Jones,Rob Roy,6.9,"Liam Neeson,Jessica Lange,John Hurt,Tim Roth",1995
ImdbItem,Michael Bay,Bad Boys,6.9,"Will Smith,Martin Lawrence,Lisa Boyle,Michael Taliferro",1995
ImdbItem,Ken Loach,Land and Freedom,7.6,"Ian Hart,Rosana Pastor,IcÃ_ar BollaÃ_n,Tom Gilroy",1995
ImdbItem,Jon Turteltaub,While You Were Sleeping,6.7,"Sandra Bullock,Bill Pullman,Peter Gallagher,Peter Boyle",1995
ImdbItem,,Die Bibel: Josef,7.7,"Ben Kingsley,Paul Mercurio,Martin Landau,Lesley Ann Warren",1995â€“ 
ImdbItem,"Don Bluth,Gary Goldman","Hubi, der Pinguin",5.6,"Martin Short,Jim Belushi,Annie Golden,Tim Curry",1995
ImdbItem,John Fortenberry,Jury Duty,4.1,"Pauly Shore,Tia Carrere,Stanley Tucci,Brian Doyle-Murray",1995
ImdbItem,Tom Clegg,Sharpe's Gold,7.5,"Sean Bean,Daragh O'Malley,Hugh Fraser,John Tams",1995
ImdbItem,Helena Solberg,Carmen Miranda: Bananas Is My Business,7.9,"Helena Solberg,Eric Barreto,Cynthia Adler,Mario Cunha",1995
ImdbItem,Robert Longo,Vernetzt - Johnny Mnemonic,5.6,"Keanu Reeves,Dolph Lundgren,Dina Meyer,Ice-T",1995
ImdbItem,Roger Michell," Screen Two,Persuasion",7.7,"Amanda Root,CiarÃ¡n Hinds,Susan Fleetwood,Corin Redgrave",1985â€“2002
ImdbItem,Peter Horton,The Cure,7.7,"Joseph Mazzello,Brad Renfro,Aeryk Egan,Delphine French",1995
ImdbItem,Tom Clegg,Sharpe's Battle,7.9,"Sean Bean,Daragh O'Malley,Hugh Fraser,Hugh Ross",1995
ImdbItem,Barbet Schroeder,Kiss of Death,5.9,"David Caruso,Samuel L. Jackson,Nicolas Cage,Helen Hunt",1995
ImdbItem,Tony Randel,Fist of the North Star,3.9,"Gary Daniels,Malcolm McDowell,Costas Mandylor,Downtown Julie Brown",1995
ImdbItem,Donald Cammell,Wild Side,5.6,"Christopher Walken,Joan Chen,Steven Bauer,Anne Heche",1995
ImdbItem,F. Gary Gray,Friday,7.3,"Ice Cube,Chris Tucker,Nia Long,Tommy 'Tiny' Lister",1995
ImdbItem,Tom Clegg,Sharpe's Sword,8,"Sean Bean,Daragh O'Malley,John Tams,Jason Salkey",1995
ImdbItem,Jack Baran,Destiny Turns on the Radio,4.5,"Dylan McDermott,Nancy Travis,Quentin Tarantino,James Le Gros",1995
ImdbItem,John Madden,Prime Suspect: The Lost Child,7.9,"Helen Mirren,Beatie Edney,Robert Glenister,Lesley Sharp",1995
ImdbItem,Christopher Hampton,Carrington,6.9,"Emma Thompson,Jonathan Pryce,Steven Waddington,Samuel West",1995
ImdbItem,Mario Van Peebles,Panther,6.4,"Kadeem Hardison,Bokeem Woodbine,Joe Don Baker,Courtney B. Vance",I 1995
ImdbItem,Lawrence Kasdan,French Kiss,6.6,"Meg Ryan,Kevin Kline,Timothy Hutton,Jean Reno",1995
ImdbItem,Phil Davis,Undercover,7.4,"Reece Dinsdale,Richard Graham,Perry Fenwick,Philip Glenister",1995
ImdbItem,Sarah Pia Anderson,Prime Suspect: Inner Circles,7.8,"Helen Mirren,Thomas Russell,James Laurenson,Helene Kvale",1995
ImdbItem,Alfonso CuarÃ_n,A Little Princess,7.7,"Liesel Matthews,Eleanor Bron,Liam Cunningham,Rusty Schwimmer",1995
ImdbItem,Tony Scott,Crimson Tide,7.3,"Gene Hackman,Denzel Washington,Matt Craven,George Dzundza",1995
ImdbItem,Christopher Monger,The Englishman Who Went Up a Hill But Came Down a Mountain,6.6,"Hugh Grant,Tara Fitzgerald,Colm Meaney,Ian McNeice",1995
